Afghanistan;Kabul;34.53;69.17;0.6026621907;1.2072442436
Armenia;Yerevan;40.18;44.51;0.7012732935;0.7768460501
Azerbaijan;Baku;40.38;49.89;0.704763952;0.8707447638
Bangladesh;Dhaka;23.71;90.41;0.4138175656;1.5779521767
Bahrain;Manama;26.22;50.58;0.4576253299;0.8827875357
Bhutan;Thimphu;27.47;89.64;0.4794419455;1.5645131415
British Indian Ocean Territory;Diego Garcia;7.24;72.46;0.1263618378;1.264665576
Brunei;Bandar Seri Begawan;4.94;114.95;0.086219265;2.0062559752
Cambodia;Phnom Penh;11.56;104.92;0.2017600615;1.8311994512
China;Beijing;39.91;116.4;0.6965609045;2.0315632493
Christmas Island;The Settlement;-10.42;105.68;-0.1818633081;1.8444639535
Cocos Islands;West Island;-12.16;96.82;-0.212232037;1.6898277818
East Timor;Dili;-8.56;125.57;-0.149400184;2.1916099417
Georgia;Tbilisi;41.69;44.83;0.7276277652;0.7824311037
Hong Kong;Hong Kong;22.29;114.16;0.3890338903;1.9924678741
India;New Delhi;28.64;77.22;0.4998622978;1.3477432484
Indonesia;Jakarta;-6.21;106.85;-0.1083849465;1.8648843058
Iran;Tehran;35.69;51.42;0.62290801;0.8974483014
Iraq;Baghdad;33.34;44.4;0.5818927726;0.7749261879
Israel;Jerusalem;35.23;31.77;0.6148794955;0.5544911034
Japan;Edo;35.69;139.69;0.62290801;2.4380504321
Jordan;Amman;31.96;35.95;0.5578072289;0.6274458661
Kazakhstan;Astana;51.18;71.45;0.8932595112;1.2470377505
Kuwait;Kuwait City;29.37;47.98;0.5126032013;0.8374089751
Kyrgyzstan;Bishkek;42.87;74.59;0.7482226503;1.3018410891
Laos;Vientiane;17.97;102.6;0.3136356666;1.7907078125
Lebanon;Beirut;33.89;35.49;0.5914920835;0.6194173515
Macao;Macao;22.2;113.55;0.3874630939;1.9818213656
Malaysia;Kuala Lumpur;3.14;101.69;0.0548033385;1.7748253164
Maldives;Malé;4.17;73.51;0.0727802298;1.2829915331
Mongolia;Ulan Bator;47.91;106.88;0.8361872446;1.8654079045
Myanmar;Nay Pyi Taw;19.75;96.13;0.3447025273;1.6777850099
Nepal;Kathmandu;27.7;85.32;0.4834562028;1.4891149178
North Korea;Pyongyang;39.03;125.75;0.6812020071;2.1947515344
Oman;Muscat;23.61;58.59;0.4120722364;1.0225884087
Pakistan;Islamabad;33.72;73.04;0.5885250238;1.2747884857
Palestinian Territory;East Jerusalem;35.23;31.77;0.6148794955;0.5544911034
Philippines;Manila;14.6;120.98;0.2548180708;2.1114993291
Qatar;Doha;25.28;51.52;0.4412192349;0.8991936306
Saudi Arabia;Riyadh;24.69;46.72;0.4309217923;0.8154178265
Singapore;Singapore;1.29;103.85;0.0225147474;1.8125244282
South Korea;Seoul;37.57;126.98;0.6557202;2.2162190842
Sri Lanka;Colombo;6.93;79.85;0.1209513172;1.3936454077
Syria;Damascus;33.51;36.29;0.5848598323;0.6333799855
Taiwan;Taipei;25.05;121.53;0.4372049776;2.1210986399
Tajikistan;Dushanbe;38.54;68.78;0.6726498937;1.2004374595
Thailand;Bangkok;13.75;100.5;0.2399827721;1.7540558983
Turkmenistan;Ashkhabad;37.95;58.38;0.6623524511;1.0189232173
United Arab Emirates;Abu Dhabi;24.47;54.37;0.427082068;0.9489355143
Uzbekistan;Tashkent;41.26;69.22;0.7201228494;1.2081169082
Vietnam;Hanoi;21.02;105.84;0.3668682088;1.8472564803
Yemen;Sanaa;15.35;44.21;0.2679080402;0.7716100623
