Country;Capital;Latitude;Longitude;;
Albania;Tirana;41.33;19.82;0.7213445798;0.3459242577
Andorra;Andorra la Vella;42.51;1.52;0.741939465;0.0265290046
Austria;Vienna;48.21;16.37;0.8414232324;0.2857103986
Belarus;Minsk;53.9;27.57;0.9407324668;0.4811872748
Belgium;Brussels;50.85;4.35;0.8874999246;0.0759218225
Bosnia and Herzegovina;Sarajevo;43.85;18.36;0.765326877;0.3204424507
Bulgaria;Sofia;42.7;23.32;0.7452555906;0.4070107816
Croatia;Zagreb;45.81;15.98;0.7995353303;0.2789036145
Cyprus;Nicosia;35.17;33.37;0.6138322979;0.5824163714
Czech Republic;Prague;50.09;14.42;0.8742354223;0.2516764781
Denmark;Copenhagen;55.68;12.57;0.9717993275;0.219387887
Estonia;Tallinn;59.44;24.75;1.0374237074;0.4319689899
Faroe Islands;Tórshavn;62.01;-6.77;1.0822786692;-0.1181587904
Finland;Helsinki;60.17;24.94;1.0501646109;0.4352851154
France;Paris;48.85;2.35;0.8525933396;0.0410152374
Germany;Berlin;52.52;13.41;0.9166469231;0.2340486527
Gibraltar;Gibraltar;36.14;-5.35;0.6307619917;-0.093375115
Greece;Athens;37.98;23.72;0.6628760499;0.4139920986
Guernsey;St Peter Port;49.46;-2.54;0.863239848;-0.044331363
Hungary;Budapest;47.5;19.04;0.8290313947;0.3323106896
Iceland;Reykjavík;64.14;-21.9;1.1194541822;-0.3822271062
Ireland;Dublin;53.33;-6.25;0.9307840901;-0.1090830782
Isle of Man;Douglas;54.15;-4.48;0.94509579;-0.0781907505
Italy;Rome;41.89;12.48;0.7311184237;0.2178170906
Jersey;Saint Helier;49.19;-2.1;0.8585274591;-0.0366519143
Kosovo;Pristina;42.67;21.17;0.7447319918;0.3694862026
Latvia;Riga;56.95;24.11;0.993965009;0.4207988827
Liechtenstein;Vaduz;47.14;9.52;0.8227482094;0.1661553448
Lithuania;Vilnius;54.69;25.28;0.9545205679;0.4412192349
Luxembourg;Luxembourg;49.61;6.13;0.8658578419;0.1069886831
Macedonia;Skopje;42;21.43;0.7330382858;0.3740240587
Malta;Valletta;35.9;14.51;0.6265732015;0.2532472745
Moldova;Chişinău;47.01;28.86;0.8204792814;0.5037020221
Monaco;Monaco;43.73;7.42;0.7632324819;0.1295034305
Montenegro;Podgorica;42.44;19.26;0.7407177345;0.3361504139
Netherlands;Amsterdam;52.37;4.89;0.9140289293;0.0853466004
Norway;Oslo;59.91;10.75;1.0456267549;0.1876228946
Poland;Warsaw;52.23;21.01;0.9115854683;0.3666936758
Portugal;Lisbon;38.72;-9.13;0.6757914864;-0.1593485607
Romania;Bucharest;44.43;26.11;0.7754497867;0.4557054677
Russia;Moscow;55.75;37.62;0.973021058;0.6565928646
San Marino;San Marino;43.94;12.45;0.7668976733;0.2172934919
Serbia;Belgrade;44.8;20.47;0.7819075049;0.3572688979
Slovakia;Bratislava;48.15;17.11;0.8403760348;0.298625835
Slovenia;Ljubljana;46.05;14.51;0.8037241205;0.2532472745
Spain;Madrid;40.42;-3.7;0.7054620837;-0.0645771823
Sweden;Stockholm;59.33;18.06;1.0355038452;0.3152064629
Switzerland;Berne;46.95;7.45;0.8194320838;0.1300270293
Turkey;Ankara;39.92;32.85;0.6967354374;0.5733406593
Ukraine;Kiev;50.45;30.52;0.8805186076;0.5326744877
United Kingdom;London;51.51;-0.13;0.8990190977;-0.002268928
Vatican;Vatican;41.9;12.45;0.7312929566;0.2172934919
