Anguilla;The Valley;18.22;-63.06;0.3179989897;-1.1006046263
Antigua and Barbuda;St. John's;17.12;-61.85;0.2988003679;-1.0794861424
Aruba;Oranjestad;12.52;-70.03;0.2185152223;-1.2222540752
Bahamas;Nassau;25.06;-77.34;0.4373795105;-1.3498376435
Barbados;Bridgetown;13.1;-59.62;0.228638132;-1.0405653
Belize;Belmopan;17.25;-88.77;0.301069296;-1.549328777
Bermuda;Hamilton;32.29;-64.78;0.5635668155;-1.1306242894
British Virgin Islands;Road Town;18.42;-64.62;0.3214896482;-1.1278317626
Canada;Ottawa;45.41;-75.7;0.7925540133;-1.3212142438
Cayman Islands;George Town;19.29;-81.37;0.3366740127;-1.4201744123
Costa Rica;San José;9.93;-84.08;0.1733111947;-1.4674728351
Cuba;Havana;23.13;-82.38;0.403694656;-1.4378022378
Dominican Republic;Santo Domingo;18.5;-69.99;0.3228859116;-1.2215559435
Dominica;Roseau;15.3;-61.39;0.2670353756;-1.0714576278
El Salvador;San Salvador;13.69;-89.19;0.2389355746;-1.5566591599
French Guiana;Cayenne;4.93;-52.33;0.0860447321;-0.9133307976
Grenada;St. George's;12.06;-61.75;0.2104867078;-1.0777408131
Guadeloupe;Basse-Terre;16;-61.73;0.2792526803;-1.0773917473
Haiti;Port-au-Prince;18.54;-72.34;0.3235840433;-1.2625711809
Honduras;Tegucigalpa;14.08;-87.21;0.2457423587;-1.5221016407
Jamaica;Kingston;18;-76.79;0.3141592654;-1.3402383326
Martinique;Fort-de-France;14.61;-61.07;0.2549926037;-1.0658725742
Mexico;Mexico City;19.43;-99.13;0.3391174737;-1.7301448875
Montserrat;Plymouth;16.71;-62.21;0.291644518;-1.0857693277
Netherlands Antilles;Willemstad;-68.92;12.1;-1.2028809205;0.2111848395
Nicaragua;Managua;12.13;-86.25;0.2117084383;-1.5053464798
Panama;Panama City;8.99;-79.52;0.1569050998;-1.3878858212
Puerto Rico;San Juan;18.47;-66.11;0.3223623128;-1.1538371685
Saint Barthélemy;Gustavia;17.9;-62.85;0.3124139361;-1.0969394349
Saint Helena;Jamestown;-15.94;-5.72;-0.2782054828;-0.0998328332
Saint Kitts and Nevis;Basseterre;17.29;-62.73;0.3017674277;-1.0948450398
Saint Lucia;Castries;14;-61.01;0.2443460953;-1.0648253766
Saint Martin;Marigot;18.07;-63.08;0.3153809958;-1.1009536922
Saint Pierre and Miquelon;Saint-Pierre;46.78;-56.17;0.8164650241;-0.9803514408
Saint Vincent and the Grenadines;Kingstown;13.16;-61.22;0.2296853296;-1.0684905681
South Georgia and the South Sandwich Islands;Grytviken;-54.28;-36.51;-0.947364718;-0.6372197099
Trinidad and Tobago;Port of Spain;10.67;-61.52;0.1862266312;-1.0737265558
Turks and Caicos Islands;Cockburn Town;21.46;-71.14;0.3745476575;-1.2416272299
United States;Washington;38.9;-77.04;0.678933079;-1.3446016557
U.S. Virgin Islands;Charlotte Amalie;18.34;-64.93;0.3200933848;-1.1332422833
