Country;Capital;Latitude;Longitude;;
Afghanistan;Kabul;34.53;69.17;0.6026621907;1.2072442436
Albania;Tirana;41.33;19.82;0.7213445798;0.3459242577
Algeria;Algiers;36.75;3.04;0.6414085001;0.0530580093
American Samoa;Pago Pago;-14.28;-170.7;-0.2492330172;-2.9792770332
Andorra;Andorra la Vella;42.51;1.52;0.741939465;0.0265290046
Angola;Luanda;-8.84;13.23;-0.1542871059;0.23090706
Anguilla;The Valley;18.22;-63.06;0.3179989897;-1.1006046263
Antigua and Barbuda;St. John's;17.12;-61.85;0.2988003679;-1.0794861424
Argentina;Buenos Aires;-34.61;-58.38;-0.6040584541;-1.0189232173
Armenia;Yerevan;40.18;44.51;0.7012732935;0.7768460501
Aruba;Oranjestad;12.52;-70.03;0.2185152223;-1.2222540752
Australia;Canberra;-35.28;149.13;-0.6157521601;2.6028095135
Austria;Vienna;48.21;16.37;0.8414232324;0.2857103986
Azerbaijan;Baku;40.38;49.89;0.704763952;0.8707447638
Bahamas;Nassau;25.06;-77.34;0.4373795105;-1.3498376435
Bahrain;Manama;26.22;50.58;0.4576253299;0.8827875357
Bangladesh;Dhaka;23.71;90.41;0.4138175656;1.5779521767
Barbados;Bridgetown;13.1;-59.62;0.228638132;-1.0405653
Belarus;Minsk;53.9;27.57;0.9407324668;0.4811872748
Belgium;Brussels;50.85;4.35;0.8874999246;0.0759218225
Belize;Belmopan;17.25;-88.77;0.301069296;-1.549328777
Benin;Porto-Novo;6.5;2.6;0.1134464014;0.0453785606
Bermuda;Hamilton;32.29;-64.78;0.5635668155;-1.1306242894
Bhutan;Thimphu;27.47;89.64;0.4794419455;1.5645131415
Bolivia;Sucre;-19.03;-65.26;-0.3321361567;-1.1390018699
Bosnia and Herzegovina;Sarajevo;43.85;18.36;0.765326877;0.3204424507
Botswana;Gaborone;-24.65;25.91;-0.4302236606;0.4522148092
Brazil;Brasília;-15.78;-47.93;-0.275412956;-0.8365363105
British Indian Ocean Territory;Diego Garcia;72.46;7.24;1.264665576;0.1263618378
British Virgin Islands;Road Town;18.42;-64.62;0.3214896482;-1.1278317626
Brunei;Bandar Seri Begawan;4.94;114.95;0.086219265;2.0062559752
Bulgaria;Sofia;42.7;23.32;0.7452555906;0.4070107816
Burkina Faso;Ouagadougou;12.37;-1.53;0.2158972285;-0.0267035376
Burundi;Bujumbura;-3.38;29.36;-0.0589921287;0.5124286684
Cambodia;Phnom Penh;11.56;104.92;0.2017600615;1.8311994512
Cameroon;Yaoundé;3.87;11.52;0.0675442421;0.2010619298
Canada;Ottawa;45.41;-75.7;0.7925540133;-1.3212142438
Cape Verde;Praia;14.93;-23.51;0.2605776573;-0.4103269071
Cayman Islands;George Town;19.29;-81.37;0.3366740127;-1.4201744123
Central African Republic;Bangui;4.36;18.55;0.0760963554;0.3237585762
Chad;N'Djamena;12.11;15.04;0.2113593724;0.2624975195
Chile;Santiago;-33.46;-70.65;-0.5839871677;-1.2330751165
China;Beijing;39.91;116.4;0.6965609045;2.0315632493
Christmas Island;The Settlement;-10.42;105.68;-0.1818633081;1.8444639535
Cocos Islands;West Island;-12.16;96.82;-0.212232037;1.6898277818
Colombia;Bogotá;4.61;-74.08;0.0804596785;-1.2929399099
Comoros;Moroni;-11.7;43.26;-0.2042035225;0.7550294344
Cook Islands;Avarua;-21.21;-159.78;-0.3701843343;-2.7886870788
Costa Rica;San José;9.93;-84.08;0.1733111947;-1.4674728351
Croatia;Zagreb;45.81;15.98;0.7995353303;0.2789036145
Cuba;Havana;23.13;-82.38;0.403694656;-1.4378022378
Cyprus;Nicosia;35.17;33.37;0.6138322979;0.5824163714
Czech Republic;Prague;50.09;14.42;0.8742354223;0.2516764781
Democratic Republic of the Congo;Kinshasa;-4.32;15.31;-0.0753982237;0.2672099085
Denmark;Copenhagen;55.68;12.57;0.9717993275;0.219387887
Djibouti;Djibouti;11.59;43.15;0.2022836603;0.7531095722
Dominica;Roseau;15.3;-61.39;0.2670353756;-1.0714576278
Dominican Republic;Santo Domingo;18.5;-69.99;0.3228859116;-1.2215559435
East Timor;Dili;-8.56;125.57;-0.149400184;2.1916099417
Ecuador;Quito;-0.23;-78.52;-0.0040142573;-1.3704325287
Egypt;Cairo;30.06;31.25;0.5246459731;0.5454153912
El Salvador;San Salvador;13.69;-89.19;0.2389355746;-1.5566591599
Equatorial Guinea;Malabo;3.75;8.78;0.0654498469;0.1532399083
Eritrea;Asmara;15.33;38.93;0.2675589743;0.6794566778
Estonia;Tallinn;59.44;24.75;1.0374237074;0.4319689899
Ethiopia;Addis Ababa;9.02;38.75;0.1574286985;0.6763150851
Falkland Islands;Stanley;-51.7;-57.85;-0.9023352233;-1.0096729723
Faroe Islands;Tórshavn;62.01;-6.77;1.0822786692;-0.1181587904
Fiji;Suva;-18.14;178.44;-0.3166027263;3.1143655173
Finland;Helsinki;60.17;24.94;1.0501646109;0.4352851154
